"gender","term","RR","lower","upper","p","AIC"
"Men","(Intercept)",1.87138257299478e-05,9.03155340419073e-06,3.79337647772762e-05,2.59763322272796e-194,6528.17860721278
"Men","caseTRUE",9.72239199931643,7.37054453581182,13.1082652762644,2.66209286029276e-54,6528.17860721278
"Men","age_start",1.04853297672307,1.04003911836415,1.05727803253906,1.2987752718313e-29,6528.17860721278
"Men","diabTRUE",1.11906942481107,0.895858908654323,1.3852780492265,0.31117341664362,6528.17860721278
"Men","htTRUE",0.696480114177877,0.587064859704076,0.826364153328238,3.33577065648516e-05,6528.17860721278
"Men","smokTRUE",1.76998230240466,1.44359140056488,2.18774800702979,7.09726129658034e-08,6528.17860721278
"Women","(Intercept)",0.000129957788818627,5.80221172590491e-05,0.000282856503239719,1.23493376118678e-108,6134.70914832146
"Women","caseTRUE",7.50726088356242,5.76136192014254,9.96601731710517,2.66271804406588e-47,6134.70914832146
"Women","age_start",1.02377024825215,1.0146811119203,1.03320518664287,3.57965809446169e-07,6134.70914832146
"Women","diabTRUE",0.833653711474098,0.628403805618554,1.08623439019387,0.191743123839405,6134.70914832146
"Women","htTRUE",0.88320456849707,0.735077001748745,1.06386912565705,0.187593404758252,6134.70914832146
"Women","smokTRUE",1.63547911012881,1.36316019387083,1.96732224145241,1.44327583809686e-07,6134.70914832146
