"gender","region_desc","term","RR","lower","upper","p","AIC"
"Men","Head and neck","(Intercept)",0.000104494661023701,1.43265146923776e-05,0.000618332002898111,1.28340217941222e-21,802.113095284473
"Men","Head and neck","caseTRUE",4.10987639647634,2.0759283421245,9.07518713121443,0.000142643624271863,802.113095284473
"Men","Head and neck","age_start",1.00512042357359,0.982199552926146,1.03046210629286,0.67621759294984,802.113095284473
"Men","Chest","(Intercept)",0.000188865334635453,9.86326413792392e-05,0.000354110761349368,2.04980864123667e-152,6303.71877510526
"Men","Chest","caseTRUE",8.29273353265737,6.34515597126982,11.0588471689568,1.44252509109399e-50,6303.71877510526
"Men","Chest","age_start",1.02188506614663,1.01414732269635,1.02986259143985,3.41241839316169e-08,6303.71877510526
"Men","Abdomen","(Intercept)",6.56513412866947e-05,2.96678520962832e-05,0.000141206714653015,2.27356520289263e-129,4940.63117316803
"Men","Abdomen","caseTRUE",5.21397931781919,4.00500178978799,6.90254403073285,1.01604125776943e-32,4940.63117316803
"Men","Abdomen","age_start",1.03743269823427,1.02772198063993,1.04749642722616,4.07279995734226e-14,4940.63117316803
"Men","Pelvis","(Intercept)",5.0460542496247e-05,2.39506203029386e-05,0.000103810390369658,3.99615148812739e-154,5961.01485357905
"Men","Pelvis","caseTRUE",2.73170632724042,2.23615218559433,3.35857040238273,3.21326135564588e-22,5961.01485357905
"Men","Pelvis","age_start",1.05051104890329,1.04117666762222,1.06015152236538,1.06975235769219e-26,5961.01485357905
"Men","Other","(Intercept)",6.66815731392015e-05,2.13375051309561e-05,0.000195835368508986,7.41662904458119e-65,2476.60486225251
"Men","Other","caseTRUE",5.8312508096347,3.89019412489017,9.1215873886609,3.70350990472838e-16,2476.60486225251
"Men","Other","age_start",1.02504437663754,1.01146621273086,1.03936680937695,0.000365628475558191,2476.60486225251
"Men","Unknown primary","(Intercept)",4.03750877574044e-06,6.83235642648589e-07,2.10821239657665e-05,9.31165476671458e-46,1446.79664576382
"Men","Unknown primary","caseTRUE",7.52167925729103,4.19419084082294,14.938344559962,3.19431257221375e-10,1446.79664576382
"Men","Unknown primary","age_start",1.05156656955495,1.03090451813582,1.07378277175751,1.32040902088427e-06,1446.79664576382
"Women","Head and neck","(Intercept)",0.000383177824079877,1.94963825023096e-05,0.00439251744064643,1.14036393461074e-08,418.954826060258
"Women","Head and neck","caseTRUE",3.40375874194707,1.34648550536187,10.3550976952375,0.0160550166955503,418.954826060258
"Women","Head and neck","age_start",0.981029738829541,0.951172256816561,1.01709870493852,0.261411265757199,418.954826060258
"Women","Chest","(Intercept)",0.00188187238439087,0.000976528198320174,0.00353444939452357,1.57345473017369e-81,6493.08081371973
"Women","Chest","caseTRUE",3.92460892120291,3.18453003173157,4.88052634680732,3.21994770481375e-36,6493.08081371973
"Women","Chest","age_start",0.999648335807813,0.992031491720098,1.00757443669812,0.929331312589628,6493.08081371973
"Women","Abdomen","(Intercept)",0.000221172145420287,8.17818734948504e-05,0.000569433022850695,8.12962704099813e-65,3903.91250843334
"Women","Abdomen","caseTRUE",5.29937729227272,3.90836715778483,7.35013040887958,3.24177858956759e-25,3903.91250843334
"Women","Abdomen","age_start",1.0161127383197,1.00477334876195,1.0280633171517,0.00625504559744121,3903.91250843334
"Women","Pelvis","(Intercept)",0.000258362276974437,9.08532657224635e-05,0.000695137976737766,5.11391369144459e-57,3554.26035749975
"Women","Pelvis","caseTRUE",4.03558399517111,2.99638601176992,5.53919180697666,4.65627410432342e-19,3554.26035749975
"Women","Pelvis","age_start",1.01545608985184,1.00348036597967,1.02811921648491,0.0131989437233888,3554.26035749975
"Women","Other","(Intercept)",0.000260836610454866,6.96657806960281e-05,0.000889422192700531,5.75982368620327e-37,2180.74975080206
"Women","Other","caseTRUE",5.68024181765145,3.69021630798282,9.17530668076898,5.67699665520966e-14,2180.74975080206
"Women","Other","age_start",1.00474853763224,0.990131912017452,1.02049870755455,0.538741729094781,2180.74975080206
"Women","Unknown primary","(Intercept)",0.000102527391757549,1.92504107026188e-05,0.000475091144201334,2.87871396184978e-29,1571.01514245
"Women","Unknown primary","caseTRUE",6.21036790872961,3.65503645567597,11.4014775535612,2.26955920374036e-10,1571.01514245
"Women","Unknown primary","age_start",1.01082004709313,0.992591808345476,1.03075511077275,0.263584168759795,1571.01514245
